h_i_dict,loss,filter_mask
"{'N': 10000000, 'B': 3072, 'K': 39, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 920000}",5.477995872497559,False
"{'N': 10000000, 'B': 1536, 'K': 78, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 920000}",4.911468982696533,False
"{'N': 10000000, 'B': 768, 'K': 156, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 920000}",4.496960163116455,False
"{'N': 10000000, 'B': 384, 'K': 313, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 920000}",4.116951942443848,False
"{'N': 10000000, 'B': 192, 'K': 625, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 920000}",3.828984260559082,False
"{'N': 10000000, 'B': 96, 'K': 1250, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 920000}",3.652743577957153,False
"{'N': 10000000, 'B': 48, 'K': 2500, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 920000}",3.5741004943847656,False
"{'N': 10000000, 'B': 24, 'K': 5000, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 920000}",3.5472400188446045,True
"{'N': 8000000, 'B': 1119, 'K': 8890, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 59000000}",2.840320348739624,False
"{'N': 8000000, 'B': 611, 'K': 4057, 'lr': 0.001, 'end_lr': 0.1, 'momentum': 0.0, 'lr_schedule': 'cosine', 'optimizer': 'adamw', 'step_decay_schedule': 'na', 'C': 14700000}",3.011070251464844,False
