N,B,K,C,actual_N,D,nqs_loss,nn_loss,type,chin_loss,split,nqs_huber_loss,chin_huber_loss
10000000,192,10000,15000000,10171392.0,245760000,2.8622864436224065,2.939060926437378,isotoken,3.004092948910961,train,2.5969356301851655e-05,2.1385557586841963e-05
10000000,384,5000,15000000,10171392.0,245760000,2.9480092714487984,2.9785048961639404,isotoken,3.004092948910961,train,9.79134260237674e-06,8.054213217182304e-06
10000000,768,2500,15000000,10171392.0,245760000,3.1005929161270407,3.0484282970428467,isotoken,3.004092948910961,train,1.6467211114138124e-05,1.4150470217359102e-05
10000000,1536,1250,15000000,10171392.0,245760000,3.3263307083064726,3.179990291595459,isotoken,3.004092948910961,train,4.449166323842663e-05,5.640246869211846e-05
10000000,3072,625,15000000,10171392.0,245760000,3.630742810927482,3.46268081665039,isotoken,3.004092948910961,train,4.6894166886927545e-05,0.00014156741642733746
10000000,6144,313,15000000,10171392.0,246153216,4.0190252635998975,3.871474981307984,isotoken,3.003835508960024,train,3.6903834938366074e-05,0.0002532455914844446
10000000,12288,156,15000000,10171392.0,245366784,4.502363199073741,4.484762668609619,isotoken,3.0043509713497083,train,3.416836867527085e-06,0.0004001240156650627
10000000,24576,78,15000000,10171392.0,245366784,5.082905707995462,4.875792503356934,isotoken,3.0043509713497083,train,4.110043180073258e-05,0.00048372109428116046
10000000,48,10000,3700000,10171392.0,61440000,2.936231761549709,3.153156280517578,isotoken,3.3053867309714637,train,7.077689949755167e-05,4.664953537580513e-05
10000000,96,5000,3700000,10171392.0,61440000,2.99571597957841,3.183351516723633,isotoken,3.3053867309714637,train,6.025131658050914e-05,3.711890249973221e-05
10000000,192,2500,3700000,10171392.0,61440000,3.1324080330238804,3.2490904331207275,isotoken,3.3053867309714637,train,3.607304205328504e-05,1.6678389928167448e-05
10000000,384,1250,3700000,10171392.0,61440000,3.347877269666612,3.380913496017456,isotoken,3.3053867309714637,train,9.31944392417411e-06,2.209245770609031e-05
10000000,768,625,3700000,10171392.0,61440000,3.6447253185564974,3.574624538421631,isotoken,3.3053867309714637,train,1.89208577875028e-05,7.780666604508862e-05
10000000,1536,313,3700000,10171392.0,61538304,4.028302661424391,3.9669268131256095,isotoken,3.3049306438742843,train,1.48534189741249e-05,0.00018207620456836367
10000000,3072,156,3700000,10171392.0,61341696,4.508359611066018,4.439056873321533,isotoken,3.305843850018709,train,1.4991426787604512e-05,0.00029425017197799215
